Date,Price,,,,,
5/3/2016,78.425,,,,,
5/4/2016,78.395,,,,,
5/5/2016,78.42,,,,,
5/6/2016,78.395,,,,,
5/9/2016,78.405,,,,,
5/10/2016,78.67,,,,,
5/11/2016,78.67,,,,,
5/12/2016,78.725,,,,,
5/13/2016,78.735,,,,,
5/16/2016,78.725,,,,,
5/17/2016,78.635,,,,,
5/18/2016,78.625,,,,,
5/19/2016,78.705,,,,,
5/20/2016,78.43,,,,,
5/23/2016,78.615,,,,,
5/24/2016,78.64,,,,,
5/25/2016,78.705,,,,,
5/26/2016,78.725,,,,,
5/27/2016,78.545,,,,,
5/30/2016,78.545,,,,,
5/31/2016,78.725,,,,,
6/1/2016,78.57,,,,,
6/2/2016,78.575,,,,,
6/3/2016,78.705,,,,,
6/6/2016,78.725,,,,,
6/7/2016,78.695,,,,,
6/8/2016,78.705,,,,,
6/9/2016,78.69,,,,,
6/10/2016,78.705,,,,,
6/13/2016,78.6,,,,,
6/14/2016,78.6,,,,,
6/15/2016,78.29,,,,,
6/16/2016,78.52,,,,,
6/17/2016,78.645,,,,,
6/20/2016,78.505,,,,,
6/21/2016,78.505,,,,,
6/22/2016,78.525,,,,,
6/23/2016,78.555,,,,,
6/24/2016,78.535,,,,,
6/27/2016,78.565,,,,,
6/28/2016,78.495,,,,,
6/29/2016,78.475,,,,,
6/30/2016,78.455,,,,,
7/1/2016,78.405,,,,,
7/4/2016,78.405,,,,,
7/5/2016,78.375,,,,,
